Employee Number,Retention,Age,Gender,Education,Marital Status,Distance From Home,Hourly Rate,Daily Rate,Monthly Rate,Monthly Income,Percent Salary Hike,Education Field,Department,Job Role,Performance Rating,Standard Hours,Stock Option Level,BusinessTravel,Training Times Last Year,Over Time,Job Satisfaction,Job Involvement,Relationship Satisfaction,Environment Satisfaction,Work Life Balance,Num Companies Worked,Total Working Years,Years At Company,Job Level,Years Since Last Promotion,Years In Current Role,Years With Current Manager
1,0,41,0,2,Single,1,94,1102,19479,5993,11,Life Sciences,Sales,Sales Executive,3,80,0,Travel_Rarely,0,1,4,3,1,2,1,8,8,6,2,0,4,5
2,1,49,1,1,Married,8,61,279,24907,5130,23,Life Sciences,Research & Development,Research Scientist,4,80,1,Travel_Frequently,3,0,2,2,4,3,3,1,10,10,2,1,7,7
4,0,37,1,2,Single,2,92,1373,2396,2090,15,Other,Research & Development,Laboratory Technician,3,80,0,Travel_Rarely,3,1,3,2,2,4,3,6,7,0,1,0,0,0
5,1,33,0,4,Married,3,56,1392,23159,2909,11,Life Sciences,Research & Development,Research Scientist,3,80,0,Travel_Frequently,3,1,3,3,3,4,3,1,8,8,1,3,7,0
7,1,27,1,1,Married,2,40,591,16632,3468,12,Medical,Research & Development,Laboratory Technician,3,80,1,Travel_Rarely,3,0,2,3,4,1,3,9,6,2,1,2,2,2
8,1,32,1,2,Single,2,79,1005,11864,3068,13,Life Sciences,Research & Development,Laboratory Technician,3,80,0,Travel_Frequently,2,0,4,3,3,4,2,0,8,7,1,3,7,6
10,1,59,0,3,Married,3,81,1324,9964,2670,20,Medical,Research & Development,Laboratory Technician,4,80,3,Travel_Rarely,3,1,1,4,1,3,2,4,12,1,1,0,0,0
11,1,30,1,1,Divorced,24,67,1358,13335,2693,22,Life Sciences,Research & Development,Laboratory Technician,4,80,1,Travel_Rarely,2,0,3,3,2,4,3,1,1,1,1,0,0,0
12,1,38,1,3,Single,23,44,216,8787,9526,21,Life Sciences,Research & Development,Manufacturing Director,4,80,0,Travel_Frequently,2,0,3,2,2,4,3,0,10,9,3,1,7,8
13,1,36,1,3,Married,27,94,1299,16577,5237,13,Medical,Research & Development,Healthcare Representative,3,80,2,Travel_Rarely,3,0,3,3,2,3,2,6,17,7,2,7,7,7
14,1,35,1,3,Married,16,84,809,16479,2426,13,Medical,Research & Development,Laboratory Technician,3,80,1,Travel_Rarely,5,0,2,4,3,1,3,0,6,5,1,0,4,3
15,1,29,0,2,Single,15,49,153,12682,4193,12,Life Sciences,Research & Development,Laboratory Technician,3,80,0,Travel_Rarely,3,1,3,2,4,4,3,0,10,9,2,0,5,8
16,1,31,1,1,Divorced,26,31,670,15170,2911,17,Life Sciences,Research & Development,Research Scientist,3,80,1,Travel_Rarely,1,0,3,3,4,1,2,1,5,5,1,4,2,3
18,1,34,1,2,Divorced,19,93,1346,8758,2661,11,Medical,Research & Development,Laboratory Technician,3,80,1,Travel_Rarely,2,0,4,3,3,2,3,0,3,2,1,1,2,2
19,0,28,1,3,Single,24,50,103,12947,2028,14,Life Sciences,Research & Development,Laboratory Technician,3,80,0,Travel_Rarely,4,1,3,2,2,3,3,5,6,4,1,0,2,3
20,1,29,0,4,Divorced,21,51,1389,10195,9980,11,Life Sciences,Research & Development,Manufacturing Director,3,80,1,Travel_Rarely,1,0,1,4,3,2,3,1,10,10,3,8,9,8
